"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","PRECIO"
"7790895012273","Gaseosa Coca Cola Sin Azucar 1.25lt","COCA COLA","Gaseosa Coca Cola Sin Azucar 1.25lt","205","2999.0"
"7790580144142","Jugo En Polvo Arcor Manzana 15g","ARCOR","Jugo En Polvo Arcor Manzana 15g","211","400.0"
"7790895004971","Agua Saborizada Pomelo Rosado 2.25 Lts Aquarius","AQUARIUS","Agua Saborizada Pomelo Rosado 2.25 Lts Aquarius","204","3300.0"
"7790895006029","Isotonico Powerade Mountain Blast 995cc","POWERADE","Isotonico Powerade Mountain Blast 995cc","42","2200.0"
"7790950133325","Bebida A Base De Hierbas Serrano Cero 1.35 Ml Terma","TERMA","Bebida A Base De Hierbas Serrano Cero 1.35 Ml Terma","35","2700.0"
"7790070760579","Vino Malbec 750 Ml Benjamin","NIETO","Vino Malbec 750 Ml Benjamin","216","6150.0"
"7791843009116","Vino Nampe Malbec 1125cc","NAMPE","Vino Nampe Malbec 1125cc","216","5250.0"
"7791813423591","Saborizada H2oh Citrus Con Gas 2.25lt","H2O","Saborizada H2oh Citrus Con Gas 2.25lt","204","2950.0"
"7790639003857","Gaseosa Cunnington Pomelo Suave 2.25lt","CUNNINGTON","Gaseosa Cunnington Pomelo Suave 2.25lt","208","1990.0"
"7791728247114","Vino Santa Julia Malbec 750 Ml","SANTA JULIA","Vino Santa Julia Malbec 750 Ml","216","6800.0"
"7792798002399","Cerveza Ipa Sauco 730 Ml Patagonia","PATAGONIA","Cerveza Ipa Sauco 730 Ml Patagonia","38","6400.0"
"7790580143527","Jugo En Polvo Arcor Limonada 15g","ARCOR","Jugo En Polvo Arcor Limonada 15g","211","400.0"
"7791250002267","Gin Gordons 700 Ml","GORDON´S","Gin Gordons 700 Ml","37","17650.0"
"7799155001705","Agua Saborizada Limonada X 2,25 L Levite","Levite","Agua Saborizada Limonada X 2,25 L Levite","204","3400.0"
"7790895640018","Isotonico Powerade Manzana 500cc","POWERADE","Isotonico Powerade Manzana 500cc","42","1950.0"
"7791813222057","Gaseosa Paso De Los Toros Tonica 1.5lt","PASO DE LOS TOROS","Gaseosa Paso De Los Toros Tonica 1.5lt","209","4150.0"
"7790314080203","Vino Chardonnay Dulce Chening Estancia Mendoza","ESTANCIA MENDOZA","Vino Chardonnay Dulce Chening Estancia Mendoza","215","4100.0"
"7798062540109","Agua Villa Del Sur Sin Gas 600cc","VILLA DEL SUR","Agua Villa Del Sur Sin Gas 600cc","202","1700.0"
"7790895643743","Alimento Soja + Jugo De Manzana 200 Ml Ades","ADES","Alimento Soja + Jugo De Manzana 200 Ml Ades","212","1300.0"
"7790580143237","Jugo En Polvo Arcor Naranja X 15 Gr","ARCOR","Jugo En Polvo Arcor Naranja X 15 Gr","211","400.0"
"7798290580083","Jugo Listo Tutti Manzana 200cc","TUTTI","Jugo Listo Tutti Manzana 200cc","212","800.0"
"7792798002757","Cerveza Ipa 1l Retornable Andes Origen","ANDES","Cerveza Ipa 1l Retornable Andes Origen","38","5200.0"
"7799155000180","Agua Sin Gas Villavicencio 1,5 L","VILLAVICENCIO","Agua Sin Gas Villavicencio 1,5 L","202","2750.0"
"7791250001871","Vodka Smirnoff Raspberry 700 Ml","SMIRNOFF","Vodka Smirnoff Raspberry 700 Ml","37","12250.0"
"7799155000791","Saborizada Levite Cero Manzana 2.25lt","Levite","Saborizada Levite Cero Manzana 2.25lt","204","3400.0"
"7795930000550","Agua Glaciar Sin Gas 6.3lt","GLACIAR","Agua Glaciar Sin Gas 6.3lt","202","8800.0"
"7791813777021","Gaseosa 7 Up Lata 354mlx1","7 UP","Gaseosa 7 Up Lata 354mlx1","206","2100.0"
"7790639003437","Gsseosa Cunnington Cola 2.25lt","CUNNINGTON","Gsseosa Cunnington Cola 2.25lt","205","1990.0"
"7790950128444","Beb. Hierb. Terma Serrano 1.75lt","TERMA","Beb. Hierb. Terma Serrano 1.75lt","35","3150.0"
"7799155001002","Saborizada Levite Cero Naranja 2.25lt","Levite","Saborizada Levite Cero Naranja 2.25lt","204","3400.0"
"7791200200828","Vodka 700ml Skyy","SKYY","Vodka 700ml Skyy","540","11300.0"
"7790168904328","Colón Selecto Dulce Fresco Tinto 750cc","COLON","Colón Selecto Dulce Fresco Tinto 750cc","216","6650.0"
"7791540047862","Vino Dada Art 391 Malbec 750cc","DADA","Vino Dada Art 391 Malbec 750cc","216","7450.0"
"7790975204062","Vino Latitud 33 Malbec 750 Cc","LATITUD 33","Vino Latitud 33 Malbec 750 Cc","216","6880.0"
"7791813828365","Gaseosa Pepsi Black Botella 500 Ml","PEPSI","Gaseosa Pepsi Black Botella 500 Ml","205","1899.0"
"7791728239331","Vino Dulce Tinto Lata 269 Ml Santa Julia","SANTA JULIA","Vino Dulce Tinto Lata 269 Ml Santa Julia","216","3100.0"
