EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA,IMAGEN
"7790742358608","La Serenisima Leche Uat Protein Ls Bot 1l","La Serenisima","1l","","https://cdn.batitienda.com/baticloud/images/product_picture_32ff6ee325e44c1a84fc66dd11cf5296_637862450172851323_0_m.jpg"
"7790742333605","Leche Uat La Serenisima Zerolact 1 botl","La Serenisima","","","https://cdn.batitienda.com/baticloud/images/product_picture_f3496342345b4bc4bdf21557665b92de_638338181657767132_0_m.jpg"
"7792798014873","Cerveza Blanca Sin Alcohol 0.0 Corona Porrón 330 cc.","Corona","330 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_b2e8ccef0f824d3b85cda7c28ff0a0e3_638557822152449111_0_m.jpg"
"7792798002375","Cerveza Con Trigo Patagonia Weisse 730 Ml Botella Descartable","Patagonia","730 Ml","","https://cdn.batitienda.com/baticloud/images/product_picture_a98d5d4b6e644db19827999cada74cc9_637862266042692013_0_m.jpg"
"7792798002399","Cerveza Patagonia 24.7 730 ml","Patagonia","730 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_e8ee9b0304674b7998fe878f56c8bad9_638248195945843893_0_m.jpg"
"7792798012961","Cerveza Patagonia Amber Lager 1 lt Retornable","Patagonia","1 lt","","https://cdn.batitienda.com/baticloud/images/product_picture_5ae2616000f543f2b5bae1c43a4b321a_638241906166651935_0_m.jpg"
"7792798003846","Cerveza Patagonia Hoppy Lager 730 Cc No Retornable","Patagonia","730 Cc","","https://cdn.batitienda.com/baticloud/images/product_picture_e290cf772eb74de28d3da2ab1f1e17c7_637862253283204413_0_m.jpg"
"7792798015023","Cerveza Patagonia Lager Del Sur 730 cc","Patagonia","730 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_5e1f36e78f7d48f9a06ba8b0fb3b5e48_638664772680803863_0_m.jpg"
"7792798010882","Cerveza Patagonia Vera Ipa 730 cc","Patagonia","730 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_7b24d59b2a344c37b43898859da12fa5_638241085905209302_0_m.jpg"
"7792798007158","Cerveza Roja Patagonia Amber Lager 730 ml Botella Descartable","Patagonia","730 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_75d69ff2287145a08f9441e578ebe54e_638255207020487710_0_m.jpg"
