ean,codigo_interno_coope
7791843008935,236424
7798353194721,313547
7794450000149,198732
7790240002010,175765
7790189021028,107898
7798108833950,296762
7791540049910,280741
7791843008911,236425
7794450000781,169288
7797942007046,309462
7794450088581,438414
7798123971309,317199
7790240041460,112147
7790240042092,696283
7791250000997,198830
7790704167644,437388
7798099599200,155275
7790070760821,298529
7790577001663,101717
7791250000935,198826
7790240041460,112147
7797942007022,309464
7794450090713,437613
7791540047862,245492
7792319972231,281605
7792319972774,122372
7790240094459,199756
7791250001017,198831
7791540049590,265431
7791203000142,863815
7791670027482,312415
7790240042092,696283
7794450090096,437275
7790704167637,150303
7798108834032,296770
7791670027857,319272
7791728002690,247115
7798039599420,280058
7792870019918,247099
7790168904403,311067
7790717152002,134277
7791670027857,319272
7798108834094,291054
7791540044519,199783
7798108834117,296763
7792319971111,296497
7790168904434,311068
7790168904328,309152
7790168903925,289829
7790168903833,289830
7790577039659,110594
7791728021301,437850
7794450090959,150788
7791670026645,312416
7794450941251,276076
7790577002165,109839
7790577001151,225365
7790577001151,225365
7798099592546,254667
7790240017045,178004
7798078230643,298746
7792319972712,308225
7798074864859,296535
7798051300189,151857
7791728001075,458334
7790945006771,311477
7798039590625,286542
7790805120043,132524
7790805012027,104017
7790717152019,134278
7790945006771,311477
7790805120043,132524
7790805012027,104017
7790717152019,134278
7791728001075,458334
7790975017013,870692
7798108833066,281101
7790577039949,156849
7798099592546,254667
7790577001571,850926
7790093521775,282019
7791333000029,885410
7791093000017,103446
7798051300202,151859
7790975001487,199923
7790240092011,285534
7794450004239,245199
7790189000177,103496
7798348711278,298647
7798039599246,296357
7798051300202,151859
7798107410497,263262
7798108834193,296542
7798123970296,317202
7798141877058,268783
7790577000024,103560
7790577002424,110593
7794450008275,442073
7794450008282,442074
7790577039987,156851
7790577041515,251279
7798078238021,267601
7798078238038,267602
7798078238120,299809
7790945007051,311485
7790945006849,311482
7798108833080,281102
7798162670706,316276
7790314010200,262891
7798162671673,316278
7798162670713,316275
7791843023495,318062
7790577039628,134646
7798162671864,316282
7798162679747,316283
7792319972675,299675
7794450000972,312442
7798159560232,319083
7790950128444,221636
7790950133288,250569
7790950133325,250563
7790950003420,150377
7790950128468,221637
7790950133257,250567
7790950141610,282532
7790950133271,250527
7790950001969,127426
7790950133356,250566
7790950133332,250564
7790950135992,267213
7790950003444,102178
7790950139273,281626
7790950003437,102177
7790950141030,282533
7799155000197,311061
7792931000039,132870
7792799000097,122688
7799155000135,309827
7795930000550,269099
7790315000149,177588
7798062547559,995215
7792931000015,171460
7795930000543,267315
7790895003882,228519
7792799000059,107492
7790895647642,286312
7790895647666,286313
7792931000022,190535
7792799000905,222095
7792799000899,222214
7791813421603,117160
7791813421917,185570
7791813423591,146961
7791813423911,185571
7790315000880,258690
7790895003288,216456
7798062548686,100861
7798062540291,147534
7798062541014,175958
7790895640490,141770
7798062540284,147533
7798062548709,103712
7798062548679,100826
7798062548648,105966
7798062540253,147009
7790315000934,270568
7790315001085,223196
7790315001054,223195
7790315001047,223194
7790315000910,270566
7790895000232,103764
7790895000782,191116
7790895000218,117838
7790895067532,113702
7790895067617,133673
7790895643286,294312
7790895067556,113501
7790895067587,290036
7790895006418,933112
7790895000430,109436
7790895005374,102406
7790895005312,106024
7790895068164,147723
7790895000447,142492
7790895000829,191124
7790895000225,117897
7791813777021,124672
7790895064128,108224
7790895064173,101347
7790895006111,103337
7790895000331,117978
7790895002304,162356
7790895002601,696488
7791813423157,873594
7790895010095,271823
7790895010088,259164
7791813421382,179574
7790895010064,259259
7790895003202,275343
7790895006715,126616
7791813800774,280825
7790895648571,299035
7791813421368,105589
7790895006104,234115
7792170110704,177050
7792170110575,160618
7790895641183,184991
7790895006029,234138
7792170042005,113177
7792170042258,116385
7792170110568,160617
7792170042029,259609
7622201703080,284852
7622201735340,294291
7790580129965,286548
7622201702656,293975
7622201703110,293972
7622201735685,284372
7622201703141,293971
7622201735746,294294
7622201705992,284869
7622201735777,294295
7622201735715,294293
7622201735371,284371
7622201705961,294290
7622201702717,293969
7790580132774,286544
7622201745707,294296
7790895647123,118526
7790895643866,272942
7798290580120,698022
7790895643842,244994
7790895641800,232908
7790895643835,272940
7790895000737,171163
7798290580090,698021
7790895009815,264088
7790895009846,265615
7798324540038,286337
7790895641534,232911
7798161722253,287617
7798324540052,295359
7798324540069,295360
7798324540083,295357
7798324540076,295358
7790742141101,707566
7790742141309,707479
7798060850095,713685
7798060850101,713687
7790742141903,708938
7790742014122,714486
