ean,codigo_interno_coope
7790150611074,287906
7798125100561,No encontrado
7798125101001,No encontrado
7798143350566,No encontrado
7798143350573,No encontrado
7798143350603,No encontrado
7793433000671,274036
0000077965233,No encontrado
7799120000504,No encontrado
7793433000626,No encontrado
7793433000657,No encontrado
7798044150555,No encontrado
7798044150777,No encontrado
7798044151095,No encontrado
7798044151101,No encontrado
7798044151156,No encontrado
7798044151125,No encontrado
7798066030620,No encontrado
7792750000937,101613
8480017253781,No encontrado
8480017253798,No encontrado
8480017253828,No encontrado
7790580131364,290487
7793360129940,282060
7792284000014,No encontrado
7798075090202,No encontrado
7790580131357,No encontrado
8480017770134,No encontrado
7793360129957,282061
8480017451255,No encontrado
8480017479433,No encontrado
8480017451279,No encontrado
7891167831100,101130
8480017558121,No encontrado
8480017558138,No encontrado
8480017558176,No encontrado
7891167831117,101131
8480017598943,No encontrado
7790748266204,100943
7790748266167,100862
7891167831087,No encontrado
7891167831094,No encontrado
7790580138578,No encontrado
7790580138585,No encontrado
7790748235064,No encontrado
7798138551688,No encontrado
7799120000856,No encontrado
7799120000870,No encontrado
7790580138776,No encontrado
7799120000863,No encontrado
7792750000340,No encontrado
7798138551671,No encontrado
7798262020043,309738
7798262020104,309740
7891167022195,No encontrado
7798132920435,284729
8480017345448,No encontrado
7798262020036,No encontrado
7798171700142,No encontrado
7798132920404,No encontrado
7798132920398,No encontrado
8480017093448,No encontrado
0000020305826,No encontrado
7790088000506,No encontrado
7798143351143,No encontrado
7795933000519,No encontrado
7791351129825,No encontrado
7795933207048,No encontrado
7798132920503,No encontrado
7796435000113,No encontrado
7798132920411,No encontrado
7798132921340,No encontrado
7798318340361,No encontrado
7798318340378,No encontrado
7798138551930,No encontrado
7798132920428,No encontrado
7798270243038,No encontrado
7798318340019,No encontrado
7798318340101,No encontrado
7798318340279,No encontrado
